time	V(vcap)	I(C1)
4.221885849756098e-005	5.123636e+000	5.661797e-004
4.230457278327526e-005	5.128240e+000	5.072665e-004
4.239028706898955e-005	5.132332e+000	4.480506e-004
4.247600135470383e-005	5.135912e+000	3.885321e-004
4.256171564041812e-005	5.138981e+000	3.287109e-004
4.264742992613240e-005	5.141538e+000	2.685870e-004
4.273314421184669e-005	5.143583e+000	2.081604e-004
4.277314421184669e-005	5.144359e+000	1.802769e-004
4.281314421184669e-005	5.145025e+000	1.525468e-004
4.285314421184669e-005	5.145581e+000	1.249701e-004
4.289314421184669e-005	5.146027e+000	9.754689e-005
4.293314421184669e-005	5.146364e+000	7.027708e-005
4.297314421184669e-005	5.146590e+000	4.316069e-005
4.301314421184668e-005	5.146707e+000	1.619774e-005
4.305314421184668e-005	5.146719e+000	-1.050164e-005
4.309314421184668e-005	5.146624e+000	-3.696627e-005
4.317314421184668e-005	5.146119e+000	-8.912292e-005
4.325314421184668e-005	5.145201e+000	-1.401389e-004
4.337314421184668e-005	5.143072e+000	-2.142462e-004
4.349314421184668e-005	5.140073e+000	-2.850945e-004
4.361314421184668e-005	5.136245e+000	-3.523087e-004
4.377314421184668e-005	5.129579e+000	-4.367417e-004
4.393314421184668e-005	5.121987e+000	-5.122336e-004
4.409314421184667e-005	5.113468e+000	-5.787847e-004
4.425314421184667e-005	5.104022e+000	-6.363948e-004
4.441314421184667e-005	5.093649e+000	-6.850640e-004
4.457314421184667e-005	5.082349e+000	-7.247923e-004
4.473314421184667e-005	5.070123e+000	-7.555796e-004
4.491028706898953e-005	5.056047e+000	-7.762807e-004
4.508742992613238e-005	5.042174e+000	-7.864381e-004
4.526457278327524e-005	5.028504e+000	-7.860519e-004
4.544171564041809e-005	5.015035e+000	-7.751219e-004
4.561885849756095e-005	5.001770e+000	-7.536483e-004
4.579600135470380e-005	4.988706e+000	-7.216310e-004
4.597314421184666e-005	4.975845e+000	-6.790700e-004
4.609885849756094e-005	4.967427e+000	-6.441255e-004
4.622457278327523e-005	4.959555e+000	-6.064572e-004
4.635028706898951e-005	4.952230e+000	-5.660650e-004
4.647600135470379e-005	4.945451e+000	-5.229490e-004
4.660171564041808e-005	4.939218e+000	-4.771091e-004
4.672742992613236e-005	4.933531e+000	-4.285454e-004
4.685314421184665e-005	4.928390e+000	-3.772578e-004
4.693885849756093e-005	4.925301e+000	-3.418503e-004
4.702457278327522e-005	4.922522e+000	-3.062605e-004
4.711028706898951e-005	4.920051e+000	-2.704885e-004
4.719600135470378e-005	4.917890e+000	-2.345341e-004
4.728171564041807e-005	4.916038e+000	-1.983976e-004
4.736742992613236e-005	4.914495e+000	-1.620787e-004
4.745314421184664e-005	4.913260e+000	-1.255776e-004
4.749314421184664e-005	4.912793e+000	-1.087346e-004
4.753314421184664e-005	4.912391e+000	-9.198430e-005
4.757314421184664e-005	4.912056e+000	-7.532683e-005
4.761314421184664e-005	4.911787e+000	-5.876215e-005
4.765314421184664e-005	4.911585e+000	-4.229025e-005
4.769314421184664e-005	4.911448e+000	-2.591116e-005
4.773314421184664e-005	4.911378e+000	-9.624850e-006
4.777314421184664e-005	4.911372e+000	6.502137e-006
4.781314421184664e-005	4.911430e+000	2.248721e-005
4.789314421184664e-005	4.911736e+000	5.399036e-005
4.797314421184664e-005	4.912292e+000	8.480407e-005
4.809314421184664e-005	4.913579e+000	1.295641e-004
4.821314421184663e-005	4.915393e+000	1.723547e-004
4.833314421184663e-005	4.917706e+000	2.129493e-004
4.849314421184663e-005	4.921735e+000	2.639413e-004
4.865314421184663e-005	4.926323e+000	3.095318e-004
4.881314421184663e-005	4.931471e+000	3.497208e-004
4.897314421184663e-005	4.937178e+000	3.845082e-004
4.913314421184663e-005	4.943445e+000	4.138942e-004
4.929314421184662e-005	4.950272e+000	4.378786e-004
4.945314421184662e-005	4.957659e+000	4.564616e-004
4.963028706898948e-005	4.966162e+000	4.689502e-004
4.980742992613233e-005	4.974543e+000	4.750705e-004
4.998457278327519e-005	4.982801e+000	4.748224e-004
5.016171564041804e-005	4.990936e+000	4.682059e-004
5.033885849756090e-005	4.998949e+000	4.552210e-004
5.051600135470376e-005	5.006840e+000	4.358677e-004
5.069314421184661e-005	5.014607e+000	4.101461e-004
5.081885849756090e-005	5.019692e+000	3.890298e-004
5.094457278327518e-005	5.024446e+000	3.662688e-004
5.107028706898947e-005	5.028870e+000	3.418632e-004
5.119600135470375e-005	5.032964e+000	3.158129e-004
5.132171564041803e-005	5.036728e+000	2.881179e-004
5.144742992613232e-005	5.040162e+000	2.587782e-004
5.157314421184660e-005	5.043266e+000	2.277939e-004
5.165885849756089e-005	5.045131e+000	2.064037e-004
5.174457278327517e-005	5.046810e+000	1.849037e-004
5.183028706898946e-005	5.048301e+000	1.632940e-004
5.191600135470374e-005	5.049606e+000	1.415745e-004
5.200171564041803e-005	5.050724e+000	1.197453e-004
5.208742992613231e-005	5.051655e+000	9.780627e-005
5.217314421184660e-005	5.052400e+000	7.575750e-005
5.221314421184660e-005	5.052682e+000	6.558345e-005
5.225314421184660e-005	5.052924e+000	5.546551e-005
5.229314421184660e-005	5.053126e+000	4.540369e-005
5.233314421184660e-005	5.053288e+000	3.539799e-005
5.237314421184660e-005	5.053410e+000	2.544841e-005
5.241314421184659e-005	5.053492e+000	1.555495e-005
5.245314421184659e-005	5.053535e+000	5.717610e-006
5.249314421184659e-005	5.053537e+000	-4.023428e-006
5.253314421184659e-005	5.053502e+000	-1.367868e-005
5.261314421184659e-005	5.053316e+000	-3.270689e-005
5.269314421184659e-005	5.052980e+000	-5.131841e-005
5.281314421184659e-005	5.052201e+000	-7.835299e-005
5.293314421184659e-005	5.051105e+000	-1.041974e-004
5.305314421184659e-005	5.049706e+000	-1.287149e-004
5.321314421184659e-005	5.047271e+000	-1.595107e-004
5.337314421184659e-005	5.044499e+000	-1.870434e-004
5.353314421184658e-005	5.041388e+000	-2.113128e-004
5.369314421184658e-005	5.037940e+000	-2.323189e-004
5.385314421184658e-005	5.034153e+000	-2.500619e-004
5.401314421184658e-005	5.030029e+000	-2.645416e-004
5.417314421184658e-005	5.025566e+000	-2.757580e-004
5.435028706898944e-005	5.020429e+000	-2.832922e-004
5.452742992613229e-005	5.015367e+000	-2.869799e-004
5.470457278327515e-005	5.010379e+000	-2.868211e-004
5.488171564041800e-005	5.005464e+000	-2.828158e-004
5.505885849756086e-005	5.000624e+000	-2.749640e-004
5.523600135470371e-005	4.995858e+000	-2.632657e-004
5.541314421184657e-005	4.991166e+000	-2.477208e-004
5.553885849756085e-005	4.988095e+000	-2.349607e-004
5.566457278327514e-005	4.985224e+000	-2.212074e-004
5.579028706898942e-005	4.982552e+000	-2.064611e-004
5.591600135470370e-005	4.980080e+000	-1.907218e-004
5.604171564041799e-005	4.977807e+000	-1.739893e-004
5.616742992613227e-005	4.975733e+000	-1.562639e-004
5.629314421184656e-005	4.973859e+000	-1.375453e-004
5.637885849756084e-005	4.972733e+000	-1.246232e-004
5.646457278327513e-005	4.971719e+000	-1.116349e-004
5.655028706898942e-005	4.970819e+000	-9.858061e-005
5.663600135470369e-005	4.970031e+000	-8.546018e-005
5.672171564041798e-005	4.969356e+000	-7.227366e-005
5.680742992613227e-005	4.968794e+000	-5.902104e-005
5.689314421184655e-005	4.968345e+000	-4.570233e-005
5.693314421184655e-005	4.968175e+000	-3.955669e-005
5.697314421184655e-005	4.968029e+000	-3.344498e-005
5.701314421184655e-005	4.967907e+000	-2.736722e-005
5.705314421184655e-005	4.967809e+000	-2.132339e-005
5.709314421184655e-005	4.967736e+000	-1.531351e-005
5.713314421184655e-005	4.967686e+000	-9.337566e-006
5.717314421184655e-005	4.967661e+000	-3.395565e-006
5.721314421184655e-005	4.967659e+000	2.488226e-006
5.725314421184655e-005	4.967681e+000	8.320158e-006
5.733314421184655e-005	4.967794e+000	1.981339e-005
5.741314421184655e-005	4.967998e+000	3.105476e-005
5.753314421184655e-005	4.968469e+000	4.738336e-005
5.765314421184654e-005	4.969131e+000	6.299274e-005
5.777314421184654e-005	4.969977e+000	7.780028e-005
5.793314421184654e-005	4.971448e+000	9.639897e-005
5.809314421184654e-005	4.973124e+000	1.130262e-004
5.825314421184654e-005	4.975004e+000	1.276821e-004
5.841314421184654e-005	4.977087e+000	1.403665e-004
5.857314421184654e-005	4.979375e+000	1.510795e-004
5.873314421184653e-005	4.981867e+000	1.598211e-004
5.889314421184653e-005	4.984563e+000	1.665912e-004
5.907028706898939e-005	4.987666e+000	1.711365e-004
5.924742992613224e-005	4.990724e+000	1.733584e-004
5.942457278327510e-005	4.993738e+000	1.732571e-004
