time	V(vcap)
3.333314421184678e-005	5.395570e+000
3.337314421184678e-005	5.397401e+000
3.341314421184678e-005	5.398930e+000
3.345314421184678e-005	5.400159e+000
3.349314421184678e-005	5.401087e+000
3.353314421184678e-005	5.401714e+000
3.357314421184678e-005	5.402041e+000
3.361314421184677e-005	5.402078e+000
3.365314421184677e-005	5.401824e+000
3.373314421184677e-005	5.400451e+000
3.381314421184677e-005	5.397947e+000
3.393314421184677e-005	5.392129e+000
3.405314421184677e-005	5.383925e+000
3.417314421184677e-005	5.373450e+000
3.433314421184677e-005	5.355202e+000
3.449314421184677e-005	5.334412e+000
3.465314421184676e-005	5.311080e+000
3.481314421184676e-005	5.285206e+000
3.497314421184676e-005	5.256790e+000
3.513314421184676e-005	5.225831e+000
3.529314421184676e-005	5.192331e+000
3.547028706898962e-005	5.153763e+000
3.564742992613247e-005	5.115747e+000
3.582457278327533e-005	5.078283e+000
3.600171564041818e-005	5.041372e+000
3.617885849756104e-005	5.005013e+000
3.635600135470390e-005	4.969206e+000
3.653314421184675e-005	4.933951e+000
3.665885849756103e-005	4.910874e+000
3.678457278327532e-005	4.889294e+000
3.691028706898960e-005	4.869210e+000
3.703600135470388e-005	4.850622e+000
3.716171564041817e-005	4.833531e+000
3.728742992613245e-005	4.817936e+000
3.741314421184674e-005	4.803837e+000
3.769314421184674e-005	4.779298e+000
3.776171564041816e-005	4.774662e+000
3.783028706898959e-005	4.770570e+000
3.789885849756102e-005	4.767022e+000
3.796742992613245e-005	4.764018e+000
3.803600135470387e-005	4.761558e+000
3.810457278327531e-005	4.759642e+000
3.817314421184673e-005	4.758270e+000
3.825314421184673e-005	4.757336e+000
3.829314421184673e-005	4.757137e+000
3.833314421184673e-005	4.757117e+000
3.837314421184673e-005	4.757272e+000
3.845314421184673e-005	4.758104e+000
3.853314421184673e-005	4.759621e+000
3.865314421184673e-005	4.763140e+000
3.877314421184673e-005	4.768100e+000
3.889314421184672e-005	4.774433e+000
3.905314421184672e-005	4.785461e+000
3.921314421184672e-005	4.798025e+000
3.937314421184672e-005	4.812123e+000
3.953314421184672e-005	4.827757e+000
3.969314421184672e-005	4.844926e+000
3.985314421184672e-005	4.863629e+000
4.001314421184671e-005	4.883868e+000
4.019028706898957e-005	4.907167e+000
4.036742992613242e-005	4.930132e+000
4.054457278327528e-005	4.952763e+000
4.072171564041813e-005	4.975059e+000
4.089885849756099e-005	4.997021e+000
4.107600135470385e-005	5.018649e+000
4.125314421184670e-005	5.039943e+000
4.137885849756099e-005	5.053880e+000
4.150457278327527e-005	5.066914e+000
4.163028706898956e-005	5.079044e+000
4.175600135470384e-005	5.090269e+000
4.188171564041812e-005	5.100590e+000
4.200742992613241e-005	5.110008e+000
4.213314421184669e-005	5.118521e+000
4.221885849756098e-005	5.123636e+000
4.230457278327526e-005	5.128240e+000
4.239028706898955e-005	5.132332e+000
4.247600135470383e-005	5.135912e+000
4.256171564041812e-005	5.138981e+000
4.264742992613240e-005	5.141538e+000
4.273314421184669e-005	5.143583e+000
4.277314421184669e-005	5.144359e+000
4.281314421184669e-005	5.145025e+000
4.285314421184669e-005	5.145581e+000
4.289314421184669e-005	5.146027e+000
4.293314421184669e-005	5.146364e+000
4.297314421184669e-005	5.146590e+000
4.301314421184668e-005	5.146707e+000
4.305314421184668e-005	5.146719e+000
4.309314421184668e-005	5.146624e+000
4.317314421184668e-005	5.146119e+000
4.325314421184668e-005	5.145201e+000
4.337314421184668e-005	5.143072e+000
4.349314421184668e-005	5.140073e+000
4.361314421184668e-005	5.136245e+000
4.377314421184668e-005	5.129579e+000
4.393314421184668e-005	5.121987e+000
4.409314421184667e-005	5.113468e+000
4.425314421184667e-005	5.104022e+000
4.441314421184667e-005	5.093649e+000
4.457314421184667e-005	5.082349e+000
4.473314421184667e-005	5.070123e+000
4.491028706898953e-005	5.056047e+000
4.508742992613238e-005	5.042174e+000
4.526457278327524e-005	5.028504e+000
4.544171564041809e-005	5.015035e+000
4.561885849756095e-005	5.001770e+000
4.579600135470380e-005	4.988706e+000
4.597314421184666e-005	4.975845e+000
4.609885849756094e-005	4.967427e+000
4.622457278327523e-005	4.959555e+000
4.635028706898951e-005	4.952230e+000
4.647600135470379e-005	4.945451e+000
4.660171564041808e-005	4.939218e+000
4.672742992613236e-005	4.933531e+000
4.685314421184665e-005	4.928390e+000
4.693885849756093e-005	4.925301e+000
4.702457278327522e-005	4.922522e+000
4.711028706898951e-005	4.920051e+000
4.719600135470378e-005	4.917890e+000
4.728171564041807e-005	4.916038e+000
4.736742992613236e-005	4.914495e+000
4.745314421184664e-005	4.913260e+000
4.749314421184664e-005	4.912793e+000
