time,V(vcap),I(C1)
0.000510693144211601,5.000068,-0.0000006332608
0.00051090457278303,5.000053,-0.0000006607072
0.000511116001354458,5.000039,-0.0000006753143
0.000511327429925887,5.000025,-0.000000677082
0.000511538858497315,5.000012,-0.0000006660104
0.000511750287068744,4.999998,-0.0000006420995
0.000511961715640172,4.999985,-0.0000006053493
0.000512173144211601,4.999972,-0.0000005557597
0.000512321715640172,4.999964,-0.0000005157107
0.000512470287068743,4.999957,-0.0000004731567
0.000512618858497315,4.99995,-0.0000004280978
0.000512767429925886,4.999944,-0.000000380534
0.000512916001354457,4.999939,-0.0000003304653
0.000513064572783029,4.999934,-0.0000002778917
0.0005132131442116,4.99993,-0.0000002228132
0.000513350287068743,4.999928,-0.0000001718174
0.000513487429925886,4.999926,-0.0000001218123
0.000513624572783028,4.999925,-0.00000007279817
0.000513761715640171,4.999924,-0.00000002477482
0.000513898858497314,4.999924,0.00000002225771
0.000514036001354457,4.999924,0.00000006829941
0.0005141731442116,4.999926,0.0000001133503
0.000514378858497314,4.999929,0.0000001766016
0.000514584572783028,4.999933,0.0000002323954
0.000514790287068742,4.999938,0.0000002807318
0.000514996001354456,4.999944,0.0000003216108
0.000515201715640171,4.999951,0.0000003550322
0.000515407429925885,4.999958,0.0000003809963
0.000515613144211599,4.999967,0.0000003995029
0.000515824572783027,4.999976,0.0000004074956
0.000516036001354456,4.999985,0.00000040826
0.000516247429925884,4.999993,0.0000004017962
0.000516458858497313,5.000001,0.000000388104
0.000516670287068741,5.000009,0.0000003671836
0.00051688171564017,5.000016,0.0000003390349
0.000517093144211598,5.000023,0.0000003036579
0.000517253144211598,5.000028,0.000000274026
0.000517413144211598,5.000032,0.0000002432795
0.000517573144211598,5.000036,0.0000002114182
0.000517733144211598,5.000039,0.0000001784423
0.000517893144211598,5.000041,0.0000001443516
0.000518053144211598,5.000043,0.0000001091462
0.000518213144211598,5.000045,0.0000000728261
0.000518378858497312,5.000046,0.00000003579952
0.000518544572783026,5.000046,4.998295E-10
0.00051871028706874,5.000046,-0.00000003307297
0.000518876001354454,5.000045,-0.00000006491888
0.000519041715640169,5.000044,-0.00000009503789
0.000519207429925883,5.000042,-0.00000012343
0.000519373144211597,5.00004,-0.0000001500952
0.000519687429925882,5.000033,-0.0000001909749
0.000520001715640168,5.000027,-0.0000002209025
0.000520316001354454,5.00002,-0.000000239878
0.000520630287068739,5.000013,-0.0000002479014
0.000520944572783025,5.000006,-0.0000002449727
0.00052125885849731,4.999998,-0.0000002310919
0.000521573144211596,4.99999,-0.0000002062591
0.000521761715640167,4.999987,-0.0000001875686
0.000521950287068738,4.999984,-0.0000001676318
0.00052213885849731,4.999981,-0.0000001464487
0.000522327429925881,4.999978,-0.0000001240192
0.000522516001354452,4.999976,-0.0000001003435
0.000522704572783024,4.999974,-0.00000007542145
0.000522893144211595,4.999973,-0.00000004925309
0.000523058858497309,4.999972,-0.00000002679621
0.000523224572783023,4.999972,-0.000000005332827
0.000523390287068738,4.999972,0.00000001513706
0.000523556001354452,4.999973,0.00000003461345
0.000523721715640166,4.999973,0.00000005309634
0.00052388742992588,4.999974,0.00000007058574
0.000524053144211594,4.999976,0.00000008708164
0.000524093144211594,4.999976,0.00000009070351
0.000524424572783023,4.99998,0.0000001163795
0.000524756001354451,4.999984,0.0000001347949
0.00052508742992588,4.999989,0.0000001459497
0.000525418858497308,4.999993,0.0000001498439
0.000525750287068736,4.999998,0.0000001464774
0.000526081715640165,5.000002,0.0000001358503
0.000526413144211593,5.000007,0.0000001179626
0.000526630287068736,5.00001,0.0000001035611
0.000526847429925879,5.000012,0.00000008855216
0.000527064572783022,5.000014,0.00000007293575
0.000527281715640164,5.000015,0.00000005671189
0.000527498858497307,5.000016,0.00000003988058
0.00052771600135445,5.000016,0.00000002244183
0.000527933144211592,5.000017,0.000000004395623
0.000528218858497307,5.000016,-0.00000001797332
0.000528504572783021,5.000016,-0.00000003737216
0.000528790287068735,5.000015,-0.00000005380088
0.000529076001354449,5.000013,-0.00000006725949
0.000529361715640163,5.000011,-0.00000007774799
0.000529647429925877,5.000009,-0.00000008526637
0.000529933144211591,5.000006,-0.00000008981465
0.000530207429925877,5.000003,-0.00000008939007
0.000530481715640163,5.000001,-0.00000008678584
0.000530756001354448,4.999999,-0.00000008200194
0.000531030287068734,4.999997,-0.00000007503839
0.000531304572783019,4.999995,-0.00000006589518
0.000531578858497305,4.999993,-0.00000005457231
0.00053185314421159,4.999991,-0.00000004106979
0.000532127429925876,4.999991,-0.00000002696813
0.000532401715640162,4.99999,-0.00000001369282
0.000532676001354447,4.99999,-0.00000000124385
0.000532950287068733,4.99999,0.00000001037878
0.000533224572783018,4.999991,0.00000002117508
0.000533498858497304,4.999991,0.00000003114503
0.00053377314421159,4.999992,0.00000004028865
0.000534138858497304,4.999994,0.00000004786266
0.000534504572783018,4.999996,0.00000005249024
0.000534870287068732,4.999998,0.00000005417139
0.000535236001354446,4.999999,0.00000005290611
0.00053560171564016,5.000001,0.0000000486944
0.000535967429925874,5.000003,0.00000004153626
0.000536333144211588,5.000004,0.00000003143169
0.000536653144211588,5.000005,0.00000002155696
0.000536973144211588,5.000006,0.00000001225787
0.000537293144211588,5.000006,0.000000003534416
0.000537613144211587,5.000006,-0.000000004613395
0.000537933144211587,5.000006,-0.00000001218557
0.000538253144211587,5.000006,-0.0000000191821
0.000538573144211587,5.000005,-0.00000002560299
0.000538978858497301,5.000003,-0.00000002978179
0.000539384572783015,5.000002,-0.00000003196246
0.000539790287068729,5.000001,-0.000000032145
0.000540196001354443,4.999999,-0.00000003032942
0.000540601715640157,4.999998,-0.00000002651571
0.000541007429925871,4.999997,-0.00000002070388
0.000541413144211586,4.999997,-0.00000001289392
0.000541853144211585,4.999996,-0.000000004167925
0.000542293144211585,4.999996,0.000000003202482
0.000542733144211585,4.999996,0.000000009217307
0.000543173144211585,4.999997,0.00000001387655
0.000543613144211584,4.999998,0.00000001718021
0.000544053144211584,4.999998,0.00000001912829
0.000544493144211584,5,0.00000001972078
0.000544916001354441,5,0.00000001726197
0.000545338858497298,5.000001,0.000000014424
0.000545761715640155,5.000002,0.00000001120689
0.000546184572783012,5.000002,0.000000007610636
0.000546607429925869,5.000002,0.000000003635234
0.000547030287068725,5.000002,-7.193141E-10
0.000547453144211582,5.000002,-0.000000005453008
0.000548018858497296,5.000001,-0.000000008800138
0.00054858457278301,5.000001,-0.00000001082406
0.000549150287068724,5,-0.00000001152478
0.000549716001354438,5,-0.00000001090229
0.000550281715640152,4.999999,-0.000000008956597
0.000550847429925866,4.999999,-0.000000005687698
0.00055141314421158,4.999999,-0.000000001095592
0.00055213314421158,4.999999,0.000000002778923
0.00055285314421158,4.999999,0.000000005388831
0.000553573144211579,5,0.000000006734134
0.000554293144211579,5,0.00000000681483
0.000555013144211578,5,0.00000000563092
0.000555733144211578,5.000001,0.000000003182405
0.000556453144211578,5.000001,-5.307174E-10
0.000557224572783006,5.000001,-0.0000000023333
0.000557996001354434,5,-0.000000003432932
0.000558767429925862,5,-0.000000003829614
0.00055953885849729,5,-0.000000003523346
0.000560310287068719,5,-0.000000002514127
0.000561081715640147,5,-8.019584E-10
0.000561853144211575,5,0.000000001613161
0.000562304572783003,5,0.000000002151879
0.000562756001354432,5,0.000000002483461
0.00056320742992586,5,0.000000002607908
0.000563658858497288,5,0.00000000252522
0.000564110287068717,5,0.000000002235396
0.000564561715640145,5,0.000000001738436
0.000565013144211573,5,0.000000001034341
0.000565053144211573,5,9.779824E-10
0.000566190287068716,5,-4.308354E-12
0.000567327429925858,5,-6.614283E-10
0.000568464572783,5,-9.933775E-10
0.000569601715640142,5,-0.000000001000156
0.000570738858497285,5,-6.817636E-10
0.000571876001354427,5,-3.820045E-11
0.000573013144211569,5,9.305334E-10
0.000576247429925853,5,5.118173E-10
0.000579481715640137,5,1.848964E-10
0.000582716001354421,5,-5.022925E-11
0.000585950287068705,5,-1.935596E-10
0.000589184572782989,5,-2.450946E-10
0.000592418858497273,5,-2.048344E-10
0.000595653144211557,5,-7.277889E-11
0.000606013144211552,5,-2.749656E-11
0.0006100001,5,1.671197E-11
0.000610000149781213,5,6.092701E-11
0.000610000149971917,5,-0.000000009063513
0.000610000150026944,5,-0.00000001840887
0.000610000150071695,5,-0.00000002421293
0.0006100002,5,-0.000001159066
0.000610008045254708,4.999896,-0.0001787746
0.000610015890509417,4.999637,-0.0003553275
0.000610023735764125,4.999223,-0.0005308179
0.000610031581018833,4.998653,-0.0007052458
0.000610039426273541,4.997928,-0.0008786111
0.000610047271528249,4.997048,-0.001050914
0.000610055116782958,4.996013,-0.001222154
0.000610095116782958,4.989128,-0.00208381
0.000610135116782958,4.979114,-0.002923102
0.000610175116782958,4.965791,-0.003738164
0.000610215116782958,4.949257,-0.004529051
0.000610295116782958,4.906939,-0.006038592
0.000610375116782958,4.852926,-0.007452469
0.000610455116782958,4.787983,-0.008771656
0.000610575116782957,4.671715,-0.01057556
0.000610695116782957,4.535037,-0.012174
0.000610815116782957,4.380382,-0.01357277
0.000610935116782957,4.210106,-0.01477845
0.000611055116782957,4.026484,-0.01579835
0.000611186545354386,3.806802,-0.01668102
0.000611317973925814,3.582445,-0.01739164
0.000611449402497243,3.35341,-0.01793023
0.000611580831068671,3.119699,-0.01829677
0.0006117122596401,2.881311,-0.01849128
0.000611843688211528,2.638247,-0.01851374
0.000611975116782957,2.390506,-0.01836417
0.000612100831068671,2.158357,-0.01810477
0.000612226545354385,1.932583,-0.01776576
0.000612352259640099,1.713187,-0.01734713
0.000612477973925814,1.500166,-0.01684889
0.000612603688211528,1.293522,-0.01627103
0.000612729402497242,1.093254,-0.01561356
0.000612855116782956,0.8993627,-0.01487647
0.000612952259640099,0.7572891,-0.01428607
0.000613049402497242,0.6213736,-0.0136822
0.000613146545354385,0.4916163,-0.01306485
0.000613243688211528,0.3680171,-0.01243402
0.00061334083106867,0.250576,-0.01178971
0.000613437973925813,0.1392931,-0.01113192
0.000613535116782956,0.03416827,-0.01046066
0.000613575116782956,-0.007127407,-0.01018718
0.000613615116782956,-0.047329,-0.009913612
0.000613655116782956,-0.0864365,-0.00964014
0.000613695116782956,-0.1244507,-0.009366964
0.000613735116782956,-0.1613732,-0.009094269
0.000613775116782956,-0.1972062,-0.00882224
0.000613855116782956,-0.2656166,-0.008280882
0.000613935116782956,-0.3297144,-0.007744249
0.000614015116782956,-0.3895426,-0.007213615
0.000614135116782956,-0.4713972,-0.006431493
0.000614255116782956,-0.5439821,-0.005669199
0.000614375116782955,-0.6075555,-0.004929997
0.000614495116782955,-0.6624117,-0.004216755
0.000614615116782955,-0.7088777,-0.003531956
0.000614712259640098,-0.7400466,-0.002998409
0.000614809402497241,-0.7666862,-0.002487447
0.000614906545354384,-0.7887965,-0.001999069
0.000615003688211527,-0.8063775,-0.001533276
0.000615100831068669,-0.8194292,-0.001090068
0.000615197973925812,-0.8279516,-0.0006694444
0.000615295116782955,-0.8319447,-0.0002714055
0.000615335116782955,-0.8327173,-0.0001149101
0.000615375116782955,-0.832872,0.00003754097
0.000615415116782955,-0.8324251,0.0001859449
0.000615455116782955,-0.8313926,0.000330302
0.000615495116782955,-0.8297908,0.0004706153
0.000615535116782955,-0.8276358,0.0006068909
0.000615575116782955,-0.8249437,0.0007391373
0.000615655116782955,-0.8180128,0.0009915909
0.000615735116782955,-0.8091261,0.001228097
0.000615815116782955,-0.7984106,0.001448817
0.000615935116782955,-0.7791824,0.001750736
0.000616055116782955,-0.7565376,0.002018389
0.000616175116782955,-0.7308818,0.002252733
0.000616295116782954,-0.7026081,0.002454862
0.000616415116782954,-0.672096,0.002625986
0.000616546545354383,-0.6355654,0.002774305
0.000616677973925811,-0.598242,0.002893885
0.00061680940249724,-0.5601258,0.002984729
0.000616940831068668,-0.5212168,0.003046835
0.000617072259640097,-0.481515,0.003080203
0.000617203688211526,-0.4410203,0.003084833
0.000617335116782954,-0.3997329,0.003060726
0.000617460831068668,-0.3610344,0.003018208
0.000617586545354382,-0.323392,0.00296236
0.000617712259640097,-0.2868056,0.002893183
0.000617837973925811,-0.2512752,0.002810675
0.000617963688211525,-0.2168009,0.002714838
0.000618089402497239,-0.1833826,0.002605672
0.000618215116782953,-0.1510203,0.002483176
0.000618312259640096,-0.1273029,0.00238501
0.000618409402497239,-0.1046105,0.00228457
0.000618506545354382,-0.08294298,0.002181855
0.000618603688211525,-0.06230037,0.002076865
0.000618700831068668,-0.0426827,0.0019696
0.00061879797392581,-0.02408994,0.00186006
0.000618895116782953,-0.006522103,0.001748246
0.000618935116782953,0.0003797606,0.001702687
0.000618975116782953,0.007099348,0.001657107
0.000619015116782953,0.01363664,0.001611541
0.000619055116782953,0.01999176,0.00156602
0.000619095116782953,0.02616495,0.001520575
0.000619135116782953,0.03215658,0.001475238
0.000619215116782953,0.04359721,0.001385004
0.000619295116782953,0.05431896,0.001295543
0.000619375116782953,0.06432886,0.00120707
0.000619495116782953,0.07802849,0.001076643
0.000619615116782953,0.09018216,0.0009494965
0.000619735116782953,0.1008326,0.0008261772
0.000619855116782953,0.1100286,0.0007071653
0.000619975116782953,0.1178245,0.0005928772
0.000620072259640095,0.1230598,0.0005038138
0.000620169402497238,0.1275386,0.0004185089
0.000620266545354381,0.1312611,0.0003369623
0.000620363688211524,0.1342272,0.0002591742
0.000620460831068667,0.1364368,0.0001851445
0.000620557973925809,0.1378901,0.0001148732
0.000620655116782952,0.1385869,0.00004836038
0.000620695116782952,0.1387281,0.0000222069
0.000620735116782952,0.1387659,-0.000003272836
0.000620775116782952,0.1387032,-0.00002807832
0.000620815116782952,0.1385427,-0.00005220953
0.000620855116782952,0.1382869,-0.00007566693
0.000620895116782952,0.1379386,-0.00009845145
0.000620935116782952,0.1375006,-0.0001205645
0.000621015116782952,0.1363659,-0.000162784
0.000621095116782952,0.1349041,-0.0002023451
0.000621175116782952,0.1331363,-0.0002392743
0.000621255116782952,0.1310835,-0.0002736039
0.000621375116782952,0.1275149,-0.0003203089
0.000621495116782952,0.1234198,-0.0003614021
0.000621615116782952,0.1188642,-0.0003970574
0.000621735116782952,0.1139125,-0.0004274699
0.000621872259640094,0.10766,-0.0004551241
0.000622009402497237,0.1012502,-0.0004774961
0.00062214654535438,0.09468306,-0.0004945858
0.000622283688211523,0.08795859,-0.0005063932
0.000622420831068666,0.08107681,-0.0005129183
0.000622557973925808,0.07403771,-0.0005141611
0.000622695116782951,0.06684128,-0.0005101217
0.00062282654535438,0.06009348,-0.0005026978
0.000622957973925808,0.05354122,-0.0004928836
0.000623089402497237,0.04718451,-0.000480679
0.000623220831068665,0.04102335,-0.0004660842
0.000623352259640094,0.03505774,-0.000449099
0.000623483688211522,0.02928767,-0.0004297235
0.000623615116782951,0.02371315,-0.0004079577
0.000623729402497236,0.01914707,-0.0003882655
0.000623843688211522,0.01482111,-0.0003681781
0.000623957973925808,0.0107353,-0.0003476954
0.000624072259640093,0.006889615,-0.0003268176
0.000624186545354379,0.003284069,-0.0003055445
0.000624300831068665,-0.0000813408,-0.0002838763
0.00062441511678295,-0.003206615,-0.0002618128
0.00062449511678295,-0.005240566,-0.0002466836
0.00062457511678295,-0.007153819,-0.0002316432
0.00062469511678295,-0.00979936,-0.0002093317
0.00062481511678295,-0.01217948,-0.0001874232
0.00062493511678295,-0.01429967,-0.0001660244
0.00062505511678295,-0.01616662,-0.0001452306
0.00062517511678295,-0.01778811,-0.0001251259
0.000625283688211521,-0.01903079,-0.000107515
0.000625392259640093,-0.02010653,-0.00009065691
0.000625500831068664,-0.02101532,-0.00007455172
0.000625609402497235,-0.02175717,-0.0000591994
0.000625717973925807,-0.02233208,-0.00004459994
0.000625826545354378,-0.02274005,-0.00003075335
0.00062593511678295,-0.02298108,-0.00001765963
0.00062597511678295,-0.02304253,-0.00001306508
0.00062601511678295,-0.02308582,-0.000008582302
0.000626055116782949,-0.02311141,-0.000004211583
0.000626095116782949,-0.02311974,0.00000004690135
0.000626135116782949,-0.02311126,0.000004193055
0.000626175116782949,-0.02308642,0.000008226864
0.000626215116782949,-0.02304567,0.0000121484
0.000626255116782949,-0.02298946,0.0000159578
0.000626295116782949,-0.02291823,0.0000196553
0.000626375116782949,-0.02273252,0.00002671585
0.000626455116782949,-0.02249211,0.00003333327
0.000626535116782949,-0.02220051,0.0000395119
0.000626615116782949,-0.02186121,0.00004525706
0.000626735116782949,-0.02127037,0.00005307607
0.000626855116782949,-0.02059134,0.00005995905
0.000626975116782949,-0.01983519,0.00006593482
0.000627095116782949,-0.0190126,0.00007103573
0.000627232259640092,-0.01797308,0.00007568033
0.000627369402497234,-0.01690693,0.00007944263
0.000627506545354377,-0.01581414,0.00008232262
0.00062764368821152,-0.01469473,0.00008432031
0.000627780831068663,-0.01354869,0.00008543571
0.000627917973925806,-0.01237602,0.0000856688
0.000628055116782948,-0.01117672,0.00008501959
0.000628192259640091,-0.01000232,0.00008372536
0.000628329402497234,-0.008863966,0.00008200418
0.000628466545354377,-0.007761663,0.00007985603
0.00062860368821152,-0.006695411,0.00007728093
0.000628740831068662,-0.005665208,0.00007427887
0.000628877973925805,-0.004671056,0.00007084985
0.000629015116782948,-0.003712954,0.00006699387
0.000629146545354376,-0.00285448,0.00006313838
0.000629277973925805,-0.002049476,0.00005922273
0.000629409402497233,-0.00129794,0.00005524692
0.000629540831068662,-0.0005998729,0.00005121095
0.00062967225964009,0.00004472553,0.00004711481
0.000629803688211519,0.0006358553,0.00004295852
0.000629935116782947,0.001173516,0.00003874207
0.000630060831068662,0.001632513,0.00003480467
0.000630186545354376,0.002046292,0.00003098538
0.00063031225964009,0.002414853,0.0000272842
0.000630437973925804,0.002738197,0.00002370113
0.000630563688211519,0.003016323,0.00002023617
0.000630689402497233,0.003249232,0.00001688932
